,단축코드,한글 종목명
175,009290,광동제약보통주
176,086220,광동헬스바이오
177,014200,광림
178,017040,광명전기보통주
179,029480,광무
180,017900,광전자보통주
181,037710,광주신세계보통주
182,026910,광진실업
183,456490,교보14호기업인수목적
184,465320,교보15호기업인수목적
185,482520,교보16호기업인수목적
186,489210,교보17호기업인수목적
187,030610,교보증권보통주
188,339770,교촌에프앤비보통주
189,053270,구영테크
190,007690,국도화학보통주
191,066620,국보디자인
192,001140,국보보통주
193,043650,국순당
194,006050,국영지앤엠
195,060480,국일신동
196,078130,국일제지
197,307750,국전약품
198,002720,국제약품보통주
199,035080,그래디언트
200,114090,그랜드코리아레저보통주
201,900290,그레이트리치과기유한공사
202,453450,그리드위즈
203,204020,그리티
204,402490,그린리소스
205,114450,그린생명과학
206,083420,그린케미칼보통주
207,186230,그린플러스
208,014530,극동유화보통주
209,083450,글로벌스탠다드테크놀로지
210,900070,글로벌에스엠테크리미티드
211,204620,글로벌텍스프리
212,019660,글로본
214,014280,금강공업보통주
215,053260,금강철강
216,008870,금비보통주
217,282720,금양그린파워
218,001570,금양보통주
220,002990,금호건설보통주
222,011780,금호석유화학보통주
223,214330,금호에이치티보통주
224,001210,금호전기보통주
225,073240,금호타이어보통주
226,036190,금화피에스시
227,049080,기가레인
228,420770,기가비스
229,035460,기산텔레콤
230,092440,기신정기 보통주
231,000270,기아보통주
232,456700,길교이앤씨
233,013700,까뮤이앤씨보통주
235,004540,깨끗한나라보통주
236,407400,꿈비
237,187790,나노
238,121600,나노신소재
239,286750,나노실리칸첨단소재
240,247660,나노씨엠에스
241,039860,나노엔텍
242,091970,나노캠텍
243,417010,나노팀
244,244880,나눔테크
245,405920,나라셀라
246,288490,나라소프트
247,051490,나라엠앤디
248,137080,나래나노텍
249,190510,나무가
250,242040,나무기술
251,459510,나우로보틱스
252,293580,나우아이비캐피탈
253,257990,나우코스
254,138610,나이벡
255,130580,나이스디앤비
256,036800,나이스정보통신
257,030190,나이스평가정보보통주
258,267320,나인테크
259,001260,남광토건보통주
261,008350,남선알미늄보통주
262,004270,남성보통주
264,003920,남양유업보통주
265,025860,남해화학보통주
266,111710,남화산업
267,091590,남화토건
268,168330,내츄럴엔도텍
269,094860,네오리진
270,253590,네오셈
271,212560,네오오토
272,095660,네오위즈
273,042420,네오위즈홀딩스
274,950220,네오이뮨텍
275,311390,네오크레마
276,085910,네오티스
277,092730,네오팜
278,290660,네오펙트
279,306620,네온테크
280,153460,네이블
281,007390,네이처셀
282,033640,네패스
283,330860,네패스아크
284,351320,넥사다이내믹스
286,005720,넥센보통주
288,002350,넥센타이어보통주
289,089140,넥스턴바이오사이언스
290,389650,넥스트바이오메디컬
291,137940,넥스트아이
292,160550,넥스트엔터테인먼트월드
293,396270,넥스트칩
294,348210,넥스틴
295,092790,넥스틸보통주
296,225570,넥슨게임즈
297,205500,넥써쓰
298,217270,넵튠
299,251270,넷마블보통주
300,317860,노드메이슨
301,104620,노랑풍선
303,090350,노루페인트 보통주
305,000320,노루홀딩스보통주
306,473980,노머스
307,194700,노바렉스
308,285490,노바텍
309,145170,노브랜드
310,229500,노브메타파마
311,106520,노블엠앤비
312,376930,노을
313,006280,녹십자보통주
314,142280,녹십자엠에스
315,234690,녹십자웰빙
317,005250,녹십자홀딩스보통주
318,004370,농심보통주
319,072710,농심홀딩스보통주
320,154030,농업회사법인 아시아종묘
321,054050,농업회사법인 엔에이치농우바이오
322,403490,농업회사법인 우듬지팜
323,069140,누리플랜
324,040160,누리플렉스
325,332290,누보
326,348340,뉴로메카
327,380550,뉴로핏
328,060260,뉴보텍
329,463020,뉴엔에이아이
330,123840,뉴온
331,012340,뉴인텍
332,462310,뉴키즈온
333,270870,뉴트리
334,144960,뉴파워프라즈마
335,085670,뉴프렉스
336,064260,다날
337,340360,다보링크
338,039560,다산네트웍스
339,154040,다산솔루에타
340,058730,다스코보통주
341,030210,다올투자증권보통주
342,023590,다우기술보통주
343,032190,다우데이타
344,323350,다원넥스뷰
345,068240,다원시스
346,145210,다이나믹디자인보통주
347,483650,달바글로벌보통주
348,464580,닷밀
349,019680,대교보통주
351,006370,대구백화점보통주
353,008060,대덕보통주
354,353200,대덕전자보통주
356,178600,대동고려삼 주식회사
357,020400,대동금속
358,008830,대동기어
359,000490,대동보통주
360,048470,대동스틸
361,008110,대동전자보통주
362,004780,대륙제관
363,005750,대림바스보통주
364,017650,대림제지
365,006570,대림통상보통주
366,389260,대명에너지
367,317850,대모엔지니어링
368,290670,대보마그네틱
369,078140,대봉엘에스
370,065150,대산에프앤비
372,001680,대상보통주
374,084690,대상홀딩스 보통주
375,036480,대성미생물연구소
376,128820,대성산업보통주
377,117580,대성에너지보통주
378,027830,대성창업투자
379,104040,대성파인텍
380,129920,대성하이텍
381,016710,대성홀딩스보통주
382,457630,대신밸런스제16호기업인수목적
383,471050,대신밸런스제17호기업인수목적
384,478780,대신밸런스제18호기업인수목적
385,482690,대신밸런스제19호기업인수목적
386,0030R0,대신밸류리츠위탁관리부동산투자회사보통주
387,020180,대신정보통신
390,003540,대신증권보통주
391,045390,대아티아이
392,009190,대양금속보통주
393,108380,대양전기공업
394,014160,대영포장보통주
395,047040,대우건설보통주
396,003090,대웅보통주
397,069620,대웅제약보통주
398,007680,대원
399,000430,대원강업보통주
400,048910,대원미디어
401,005710,대원산업
403,006340,대원전선보통주
404,003220,대원제약보통주
405,024890,대원화성보통주
406,290380,대유
407,002880,대유에이텍
408,120240,대정화금
409,003310,대주산업
410,114920,대주이엔티 주식회사
411,078600,대주전자재료
412,393970,대진첨단소재
413,015230,대창단조보통주
414,012800,대창보통주
415,096350,대창솔루션
416,140520,대창스틸
417,131220,대한과학
418,010170,대한광통신
419,054670,대한뉴팜
420,001070,대한방직보통주
421,023910,대한약품공업
422,006650,대한유화보통주
423,001440,대한전선보통주
424,084010,대한제강 보통주
426,001790,대한제당보통주
427,001130,대한제분보통주
428,439260,대한조선보통주
430,003490,대한항공보통주
431,005880,대한해운보통주
432,003830,대한화섬보통주
433,016090,대현보통주
434,069460,대호에이엘보통주
435,021040,대호특수강
